excel_row,status,db_id,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
441,exact_match,6977928e2e40cca8d4f8276f,St. Alban's Boys And Girls Club Preschool,University-Rosedale,Toronto,"843 Palmerston Avenue, Toronto, ON M6G 2R8",St. Alban's Boys And Girls Club Preschool,University-Rosedale,Toronto,"843 Palmerston Avenue, Toronto, ON M6G 2R8"
442,exact_match,697792902e40cca8d4f82959,St.Ambrose YMCA,Etobicoke-Lakeshore,Toronto,"20 Coules Court, Etobicoke, ON M8W 2N9",St.Ambrose YMCA,Etobicoke-Lakeshore,Toronto,"20 Coules Court, Etobicoke, ON M8W 2N9"
443,exact_match,697792962e40cca8d4f82c61,St. Andrew Child Care Centre,Etobicoke North,Toronto,"2533 Kipling Ave. Etobicoke, ON, M9V 3A8",St. Andrew Child Care Centre,Etobicoke North,Toronto,"2533 Kipling Ave. Etobicoke, ON, M9V 3A8"
444,exact_match,6977928e2e40cca8d4f8274d,St. Bernadette's Family Resource Centre,Toronto-St. Paul's,Toronto,"D'Arcy McGee School, 20 Bansley Ave, York, ON M6E 2A2",St. Bernadette's Family Resource Centre,Toronto-St. Paul's,Toronto,"D'Arcy McGee School, 20 Bansley Ave, York, ON M6E 2A2"
445,partial_match,6977928e2e40cca8d4f8274e,St. Boniface Jr YMCA,Scarborough¬†Southwest,Toronto,"20 Markanna Drive, Scarborough, ON M1M 2J1",St. Boniface Jr YMCA,Scarborough Southwest,Toronto,"20 Markanna Drive, Scarborough, ON M1M 2J1"
446,exact_match,6977928e2e40cca8d4f8247f,St. Clement's Early Learning School,Eglington-Lawrence,Toronto,"70 St Clements Ave, Toronto, ON M4R 1H8",St. Clement's Early Learning School,Eglington-Lawrence,Toronto,"70 St Clements Ave, Toronto, ON M4R 1H8"
447,exact_match,697792962e40cca8d4f82c62,St. Columba YMCA Child Care Centre,Scarborough-Rouge Park,Toronto,"10 John Tabor Trail, Scarborough, ON M1B 1M9",St. Columba YMCA Child Care Centre,Scarborough-Rouge Park,Toronto,"10 John Tabor Trail, Scarborough, ON M1B 1M9"
448,exact_match,697792902e40cca8d4f8295c,St. Edward YMCA,Willowdale,Toronto,"1 Botham Rd., North York, ON M2N 2J6",St. Edward YMCA,Willowdale,Toronto,"1 Botham Rd., North York, ON M2N 2J6"
449,exact_match,6977928e2e40cca8d4f82751,St. Francis de Sales YMCA Child Care Centre,Humber River-Black Creek,Toronto,"333 Firgrove Crescent, North York, ON M3N 1K9",St. Francis de Sales YMCA Child Care Centre,Humber River-Black Creek,Toronto,"333 Firgrove Crescent, North York, ON M3N 1K9"
450,exact_match,697792902e40cca8d4f82877,St. Gabriel's Jr YMCA,Willowdale,Toronto,"396 Spring Garden Avenue, North York, ON M2N 3H5",St. Gabriel's Jr YMCA,Willowdale,Toronto,"396 Spring Garden Avenue, North York, ON M2N 3H5"
451,exact_match,697792902e40cca8d4f8295d,St. George's School Age Child Care Programme,Etobicoke North,Toronto,"70 Princess Anne Crescent, Etobicoke, ON M9A 2P7",St. George's School Age Child Care Programme,Etobicoke North,Toronto,"70 Princess Anne Crescent, Etobicoke, ON M9A 2P7"
452,exact_match,697792962e40cca8d4f82d33,St. George Mini School Inc,Don Valley East,Toronto,"33 Mallard Rd., North York, ON M3B 1S4",St. George Mini School Inc,Don Valley East,Toronto,"33 Mallard Rd., North York, ON M3B 1S4"
453,exact_match,6977928e2e40cca8d4f827cd,St. George Mini School Inc - Bond,Don Valley East,Toronto,"141 Bond Ave., North York, ON M3B 1M1",St. George Mini School Inc - Bond,Don Valley East,Toronto,"141 Bond Ave., North York, ON M3B 1M1"
454,exact_match,697792962e40cca8d4f82c9a,St. George Mini School - Mallard,Don Valley East,Toronto,"25 Mallard Rd., North York, ON M3B 1S4",St. George Mini School - Mallard,Don Valley East,Toronto,"25 Mallard Rd., North York, ON M3B 1S4"
455,exact_match,6977928e2e40cca8d4f82752,St. Jerome Jr YMCA,York Centre,Toronto,"111 Sharpecroft Boulevard, North York, ON M3J 1P5",St. Jerome Jr YMCA,York Centre,Toronto,"111 Sharpecroft Boulevard, North York, ON M3J 1P5"
