status,excel_name,excel_city,excel_region,excel_address,db_name,db_city,db_region,db_address
exact_match,Plasp Mother Cabrini Catholic School,Etobicoke Centre,Toronto,"720 Renforth Dr, Etobicoke, ON M9C 2N9",Plasp Mother Cabrini Catholic School,Etobicoke Centre,Toronto,"720 Renforth Dr, Etobicoke, ON M9C 2N9"
exact_match,Plasp Nativity Of Our Lord Catholic School,Etobicoke Centre,Toronto,"35 Saffron Crescent, Etobicoke, ON M9C 3T8",Plasp Nativity Of Our Lord Catholic School,Etobicoke Centre,Toronto,"35 Saffron Crescent, Etobicoke, ON M9C 3T8"
exact_match,Plasp North Bridlewood Junior Public School,Scarborough-Agincourt,Toronto,"50 Collingsbrook Blvd, Toronto, ON M1W 1L7",Plasp North Bridlewood Junior Public School,Scarborough-Agincourt,Toronto,"50 Collingsbrook Blvd, Toronto, ON M1W 1L7"
exact_match,Plasp Parkfield Junior School,Etobicoke North,Toronto,"31 Redgrave Dr, Etobicoke, ON M9R 3T9",Plasp Parkfield Junior School,Etobicoke North,Toronto,"31 Redgrave Dr, Etobicoke, ON M9R 3T9"
exact_match,Plasp Pauline Junior Public School,Davenport,Toronto,"100 Pauline Ave, Toronto, ON M6H 3M8",Plasp Pauline Junior Public School,Davenport,Toronto,"100 Pauline Ave, Toronto, ON M6H 3M8"
exact_match,Plasp St. Albert Catholic School,Scarborough Centre,Toronto,"1125 Midland Ave, Toronto, ON M1K 4H2",Plasp St. Albert Catholic School,Scarborough Centre,Toronto,"1125 Midland Ave, Toronto, ON M1K 4H2"
exact_match,Plasp St. Cecilia Catholic School,Parkdale-High Park,Toronto,"355 Annette St, Toronto, ON M6P 1R3",Plasp St. Cecilia Catholic School,Parkdale-High Park,Toronto,"355 Annette St, Toronto, ON M6P 1R3"
exact_match,Plasp St. Clement Catholic School,Etobicoke Centre,Toronto,"4319 Bloor St W, Etobicoke, ON M9C 2A2",Plasp St. Clement Catholic School,Etobicoke Centre,Toronto,"4319 Bloor St W, Etobicoke, ON M9C 2A2"
exact_match,Plasp St. Conrad Catholic School,York Centre,Toronto,"5 Exbury Rd, North York, ON M3M 1P6",Plasp St. Conrad Catholic School,York Centre,Toronto,"5 Exbury Rd, North York, ON M3M 1P6"
exact_match,Plasp St. Elizabeth Catholic School,Etobicoke-Lakeshore,Toronto,"5 Redcar Ave, Etobicoke, ON M9B 1J8",Plasp St. Elizabeth Catholic School,Etobicoke-Lakeshore,Toronto,"5 Redcar Ave, Etobicoke, ON M9B 1J8"
exact_match,Plasp St. Isaac Jogues Catholic School - Toronto,Don Valley East,Toronto,"1330 York Mills Rd, North York, ON M3A 1Z8",Plasp St. Isaac Jogues Catholic School - Toronto,Don Valley East,Toronto,"1330 York Mills Rd, North York, ON M3A 1Z8"
exact_match,Plasp St. Louis C.S.,Etobicoke-Lakeshore,Toronto,"11 Morgan Ave, Etobicoke, ON M8Y 2Z7",Plasp St. Louis C.S.,Etobicoke-Lakeshore,Toronto,"11 Morgan Ave, Etobicoke, ON M8Y 2Z7"
exact_match,Plasp St. Margaret C.S.,Eglington-Lawrence,Toronto,"85 Carmichael Ave, Toronto, ON M5M 2X1",Plasp St. Margaret C.S.,Eglington-Lawrence,Toronto,"85 Carmichael Ave, Toronto, ON M5M 2X1"
exact_match,Plasp St. Norbert Catholic School,York Centre,Toronto,"60 Maniza Rd, North York, ON M3K 1R6",Plasp St. Norbert Catholic School,York Centre,Toronto,"60 Maniza Rd, North York, ON M3K 1R6"
